,,"Acidentes
c/ vítimas",,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,,2013,2014,2013,2014,2013,2014,2013,2014,2013,2014
,,,,,,,,,,,
REGIÃO NORTE,Braga,2706,2721,35,28,163,204,3364,3370,3562,3602
,Bragança,358,335,6,15,55,59,437,379,498,453
,Porto,5075,5327,63,64,198,213,6333,6644,6594,6921
,Viana do Castelo,719,715,10,23,50,41,888,887,948,951
,Vila Real,543,544,11,20,44,60,699,675,754,755
,Total,9401,9642,125,150,510,577,11721,11955,12356,12682
REGIÃO CENTRO,Aveiro,2470,2409,47,17,137,125,2957,2891,3141,3033
,Castelo Branco,498,482,22,17,92,86,584,546,698,649
,Coimbra,1441,1447,24,41,61,66,1828,1781,1913,1888
,Guarda,404,466,12,8,53,62,480,569,545,639
,Leiria,1644,1745,31,33,160,144,1903,2106,2094,2283
,Viseu,1206,1120,24,26,73,69,1534,1447,1631,1542
,Total,7663,7669,160,142,576,552,9286,9340,10022,10034
"REGIÃO DE
LISBOA E VALE
TEJO",Lisboa,6847,6948,69,60,350,344,8097,8174,8516,8578
,Santarém,1463,1422,33,30,158,168,1814,1760,2005,1958
,Setúbal,2145,1995,42,28,125,163,2648,2437,2815,2628
,Total,10455,10365,144,118,633,675,12559,12371,13336,13164
"REGIÃO DO
ALENTEJO",Beja,420,449,29,20,67,105,478,520,574,645
,Évora,434,417,21,15,69,41,559,499,649,555
,Portalegre,302,293,18,8,53,68,320,320,391,396
,Total,1156,1159,68,43,189,214,1357,1339,1614,1596
"REGIÃO DO
ALGARVE",Faro,1664,1769,21,29,146,134,1895,2014,2062,2177
,Total,1664,1769,21,29,146,134,1895,2014,2062,2177
TOTAL,,30339,30604,518,482,2054,2152,36818,37019,39390,39653
